City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Eldorado,-23.7869,-54.2836,79.3,59,0,5.26,BR,1634932754
Yatou,37.15,122.3833,48.13,64,1,5.68,CN,1634932754
Ruteng,-8.6136,120.4721,62.26,69,97,0.4,ID,1634932754
Ponta Delgada,37.7333,-25.6667,70.52,68,40,8.05,PT,1634932755
Sovetskiy,61.3614,63.5842,36.09,98,100,8.9,RU,1634932713
Kondinskoye,59.6481,67.41,37.56,97,100,15.52,RU,1634932755
Nísia Floresta,-6.0911,-35.2086,84.58,70,21,9.37,BR,1634932755
Bagdarin,54.4333,113.6,29.62,71,66,2.46,RU,1634932756
Canchungo,12.0672,-16.0333,86.13,80,12,7.58,GW,1634932756
Aloleng,16.1307,119.7824,79.09,83,94,5.01,PH,1634932756
Dunda,-8.1167,34.25,72.99,48,50,3.65,TZ,1634932756
Vale da Amoreira,39.0697,-7.6985,60.46,44,0,4.92,PT,1634932757
Dukat,62.55,155.55,-5.91,85,95,0.83,RU,1634932757
Gazalkent,41.5581,69.7708,39.56,58,99,4.54,UZ,1634932757
Valleyview,55.0667,-117.2859,41.04,81,100,4.61,CA,1634932758
Kamenka,51.3223,42.7678,51.85,72,5,12.68,RU,1634932758
Kahului,20.8947,-156.47,79.97,76,21,13.0,US,1634932758
Souillac,-20.5167,57.5167,73.78,88,75,3.44,MU,1634932759
Vao,-22.6667,167.4833,72.55,80,1,1.92,NC,1634932759
Jatai,-17.8814,-51.7144,85.51,37,91,7.18,BR,1634932759
Ceres,37.5949,-120.9577,60.71,94,100,5.41,US,1634932504
Avarua,-21.2078,-159.775,73.45,56,75,4.61,CK,1634932747
Warrington,53.3925,-2.5802,49.87,89,75,5.99,GB,1634932533
Ciudad Bolivar,8.1222,-63.5497,83.91,70,92,9.04,VE,1634932760
Nizhniy Odes,63.6445,54.856,42.03,94,100,11.95,RU,1634932760
Severo-Kuril'sk,50.6789,156.125,37.0,79,98,9.78,RU,1634932760
Port Jervis,41.3751,-74.6927,61.47,73,100,7.96,US,1634932761
Guerrero Negro,27.9769,-114.0611,74.08,62,0,15.86,MX,1634932761
Kuril'sk,45.2333,147.8833,40.66,76,61,6.11,RU,1634932761
Caravelas,-17.7125,-39.2481,74.71,81,99,8.43,BR,1634932762
Maraã,-1.8333,-65.3667,86.18,62,76,4.59,BR,1634932763
York,40.1254,-77.0,61.74,63,100,7.54,US,1634932740
Geraldton,-28.7667,114.6,54.01,87,0,8.05,AU,1634932683
Balod,20.73,81.2047,64.87,56,0,2.13,IN,1634932764
Sorong,-0.8833,131.25,77.38,85,100,6.67,ID,1634932764
Luganville,-15.5333,167.1667,78.91,86,55,2.98,VU,1634932764
Sanary-sur-Mer,43.1178,5.8001,60.15,63,56,6.62,FR,1634932765
Hobyo,5.3505,48.5268,79.34,83,12,14.18,SO,1634932765
Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,86,75,2.24,RU,1634932765
Wallaceburg,42.593,-82.3885,49.21,52,100,5.21,CA,1634932765
Kruisfontein,-34.0033,24.7314,57.88,83,97,2.48,ZA,1634932766
Amapá,1.0,-52.0,86.45,54,100,1.66,BR,1634932766
Nelson Bay,-32.7167,152.15,58.1,96,11,4.85,AU,1634932766
Tecolutla,20.4833,-97.0167,80.91,74,100,8.5,MX,1634932767
Nizwá,22.9333,57.5333,81.37,28,3,3.06,OM,1634932767
Upernavik,72.7868,-56.1549,18.09,91,100,9.53,GL,1634932767
Gornopravdinsk,60.05,69.9,35.2,94,100,10.71,RU,1634932768
Melilla,35.2937,-2.9383,66.58,72,0,3.44,ES,1634932768
Kisangani,0.5167,25.2,70.07,91,100,1.39,CD,1634932768
Carman,49.4992,-98.0016,39.45,70,98,6.91,CA,1634932768
Prince Rupert,54.3161,-130.3201,48.97,81,90,16.11,CA,1634932617
Shelburne,44.0787,-80.2041,41.41,74,41,7.16,CA,1634932769
Gunjur,13.2019,-16.7339,86.07,74,20,6.91,GM,1634932769
Anadyr,64.75,177.4833,14.5,85,75,13.42,RU,1634932769
Noumea,-22.2763,166.4572,75.99,99,25,4.97,NC,1634932770
Dubovka,49.0583,44.829,50.95,69,5,12.28,RU,1634932770
Manakara,-22.1333,48.0167,71.42,79,100,3.65,MG,1634932770
Balkanabat,39.5108,54.3671,56.86,29,0,9.8,TM,1634932771
Albanel,48.8832,-72.4487,44.82,72,76,11.5,CA,1634932771
Methóni,36.8197,21.7049,58.86,74,0,9.26,GR,1634932771
Praia,14.9215,-23.5087,82.94,65,0,13.8,CV,1634932772
Iporá,-16.4419,-51.1178,90.27,31,60,4.45,BR,1634932772
Palmer,42.1584,-72.3287,65.01,60,98,1.99,US,1634932772
Tongliao,43.6125,122.2653,44.42,48,0,5.88,CN,1634932772
Lüderitz,-26.6481,15.1594,56.77,89,0,7.87,NA,1634932773
Vallenar,-28.5708,-70.7581,76.05,22,89,10.85,CL,1634932773
Mwene-Ditu,-7.0,23.45,67.21,91,95,1.48,CD,1634932773
Tucuruí,-3.7661,-49.6725,82.02,73,100,1.39,BR,1634932774
Florianópolis,-27.6146,-48.5012,76.23,50,0,11.5,BR,1634932774
Rødbyhavn,54.6544,11.352,45.97,67,8,32.91,DK,1634932774
Río Gallegos,-51.6226,-69.2181,59.05,21,75,19.57,AR,1634932503
Leh,34.1667,77.5833,36.93,52,100,3.94,IN,1634932775
Kamariótissa,40.4833,25.4667,59.02,88,0,5.1,GR,1634932775
Bartica,6.4,-58.6167,75.52,98,100,1.57,GY,1634932775
Kidal,18.4411,1.4078,89.4,19,7,7.16,ML,1634932776
Kashgar,39.4547,75.9797,51.01,14,20,20.13,CN,1634932776
Beloha,-25.1667,45.05,65.73,74,100,11.74,MG,1634932776
Hofn,64.2539,-15.2082,41.81,94,100,4.52,IS,1634932777
Kushmurun,52.4503,64.6311,44.62,68,100,20.18,KZ,1634932777
Saint-François,46.4154,3.9054,40.91,89,0,0.0,FR,1634932778
Zhoucun,36.8167,117.8167,48.09,53,100,2.89,CN,1634932778
Serenje,-13.2325,30.2352,71.46,40,34,4.65,ZM,1634932779
Libreville,0.3925,9.4537,78.82,89,20,5.75,GA,1634932556
Kalmunai,7.4167,81.8167,79.3,82,90,6.91,LK,1634932779
Shahreza,32.0339,51.8794,48.38,37,0,4.81,IR,1634932779
Djebeniana,35.035,10.9081,73.2,77,0,8.12,TN,1634932780
Bratsk,56.1325,101.6142,32.49,74,53,4.56,RU,1634932780
Charallave,10.2425,-66.8572,85.96,44,87,3.24,VE,1634932780
Saskylakh,71.9167,114.0833,-3.1,100,95,2.82,RU,1634932781
Bayir,37.2687,28.2167,50.52,70,0,0.58,TR,1634932781
Cockburn Town,21.4612,-71.1419,82.36,78,40,6.91,TC,1634932781
Cap Malheureux,-19.9842,57.6142,75.47,80,63,5.01,MU,1634932684
Vila Franca do Campo,37.7167,-25.4333,70.21,75,74,4.65,PT,1634932601
Zheleznodorozhnyy,55.7503,38.0042,44.56,63,46,14.36,RU,1634932782
San Martín,-33.081,-68.4681,75.74,25,33,19.01,AR,1634932782
Tibiri,13.5627,7.0485,91.6,26,55,7.63,NE,1634932782
Puerto Ayacucho,5.6639,-67.6236,87.93,64,58,0.56,VE,1634932783
Aztec,36.8222,-107.9929,67.08,20,84,3.33,US,1634932783
Oistins,13.0667,-59.5333,84.29,70,40,21.85,BB,1634932498
Ayagoz,47.9714,80.4392,30.87,68,37,7.85,KZ,1634932783
Asău,46.4333,26.4,53.96,68,100,4.9,RO,1634932784
Anshun,26.25,105.9333,41.9,94,72,4.45,CN,1634932784
Terney,45.0503,136.6092,35.73,74,1,9.1,RU,1634932784
Puerto Madero,14.7208,-92.4215,82.62,72,25,4.52,MX,1634932784
Balassagyarmat,48.073,19.2961,52.48,82,30,12.24,HU,1634932785
Villazón,-22.0866,-65.5942,74.98,3,65,28.07,BO,1634932785
Pucara,-15.9803,-71.4606,46.53,23,0,15.35,PE,1634932785
Anau,-16.5167,-151.7333,78.48,78,54,9.4,PF,1634932786
Okato,-39.2,173.8833,49.68,68,99,10.45,NZ,1634932786
Urubichá,-15.3833,-62.95,101.95,25,65,8.75,BO,1634932786
Kawalu,-7.3817,108.2082,72.27,98,100,1.63,ID,1634932787
Charters Towers,-20.1,146.2667,71.35,91,49,11.07,AU,1634932787
Lafiagi,8.8667,5.4167,79.38,80,47,4.63,NG,1634932787
Santa Isabel Rio Negro,-0.4139,-65.0192,89.82,55,68,0.89,BR,1634932787
Loudéac,48.1783,-2.7543,48.97,80,9,3.91,FR,1634932788
Valparaíso,-33.0393,-71.6273,66.25,53,0,11.5,CL,1634932788
Glenwood Springs,39.5505,-107.3248,63.05,34,1,5.75,US,1634932788
Vestmanna,62.1564,-7.1664,40.12,75,75,10.36,FO,1634932789
Yerbogachën,61.2767,108.0108,31.86,91,90,6.46,RU,1634932789
Divnomorskoye,44.5011,38.1353,58.62,82,1,6.76,RU,1634932789
Nara,34.6851,135.8049,53.71,64,79,8.81,JP,1634932790
Nicolás Bravo,18.45,-88.9167,86.5,70,96,2.93,MX,1634932790
East Norriton,40.1518,-75.3366,63.46,66,90,1.99,US,1634932790
Chernyshevskiy,63.0128,112.4714,30.85,89,99,8.14,RU,1634932791
Inuvik,68.3499,-133.7218,37.26,73,90,10.36,CA,1634932791
Rawson,-43.3002,-65.1023,66.87,21,0,11.39,AR,1634932748
Hyères,43.1167,6.1167,58.39,68,0,3.44,FR,1634932708
Tatarsk,55.219,75.9828,36.48,93,100,17.27,RU,1634932791
Bathsheba,13.2167,-59.5167,84.81,70,40,21.85,BB,1634932587
Ahipara,-35.1667,173.1667,59.65,94,100,20.56,NZ,1634932793
Grand Gaube,-20.0064,57.6608,75.38,81,62,5.01,MU,1634932793
Krishnarājpet,12.655,76.4883,71.1,88,100,3.65,IN,1634932793
Billings Metropolitan Area,45.7833,-108.5007,63.61,46,6,5.01,US,1634932646
Biak,-0.9131,122.8766,76.01,81,36,3.85,ID,1634932599
Macon,39.8667,-88.9668,55.72,60,100,8.61,US,1634932794
Krasnogorskoye,52.2953,86.1979,36.0,80,100,4.61,RU,1634932794
Camopi,3.1655,-52.3158,83.64,68,89,5.28,GF,1634932795
Blackwater,-23.5833,148.8833,71.87,88,10,6.35,AU,1634932795
Cañita,9.2097,-78.8811,77.5,88,100,7.54,PA,1634932795
Suratgarh,29.3167,73.9,79.79,35,2,15.84,IN,1634932795
Nibbar,36.2941,8.7666,70.48,35,40,4.61,TN,1634932796
Debre Tabor,11.85,38.0167,55.36,58,94,2.73,ET,1634932796
Flinders,-34.5833,150.8552,58.41,89,4,1.99,AU,1634932796
Porangatu,-13.4408,-49.1486,88.84,46,71,4.76,BR,1634932797
Esim,4.8699,-2.2405,77.29,88,100,8.37,GH,1634932797
Witu,-2.3889,40.4382,75.67,82,19,8.25,KE,1634932797
Mildura,-34.2,142.15,55.36,82,40,9.22,AU,1634932602
Juneau,58.3019,-134.4197,46.62,97,100,5.01,US,1634932725
‘Āhuimanu,21.4447,-157.8378,80.22,70,19,15.93,US,1634932798
Adré,13.4667,22.2,82.56,22,98,16.6,TD,1634932798
Aksu,41.1231,80.2644,54.82,42,100,7.31,CN,1634932799
Zhigansk,66.7697,123.3711,16.99,95,100,6.53,RU,1634932596
Kjøllefjord,70.9457,27.3465,31.78,65,99,14.0,NO,1634932799
Bairiki Village,1.3292,172.9752,80.6,78,20,6.91,KI,1634932774
Airai,-8.9266,125.4092,62.49,72,100,1.92,TL,1634932800
Havelock,34.8791,-76.9013,76.05,78,100,5.01,US,1634932800
Swan River,52.1058,-101.2676,38.23,76,100,4.94,CA,1634932801
Homer,59.6425,-151.5483,41.23,84,100,1.99,US,1634932801
Iracoubo,5.4802,-53.2011,81.12,80,78,9.46,GF,1634932802
Gayéri,12.6497,0.4931,88.75,36,95,1.14,BF,1634932803
Rocha,-34.4833,-54.3333,69.96,64,95,7.16,UY,1634932706
Akdepe,42.0551,59.3788,41.09,34,7,8.93,TM,1634932707
Allonnes,47.9674,0.1581,49.84,87,90,0.0,FR,1634932804
The Valley,18.217,-63.0578,84.67,62,40,14.97,AI,1634932758
Timizart,36.8,4.2667,62.6,83,17,3.2,DZ,1634932805
Road Town,18.4167,-64.6167,85.19,66,21,17.34,VG,1634932806
Kitimat,54.0524,-128.6534,40.01,100,100,3.24,CA,1634932806
Tsiroanomandidy,-18.7667,46.0333,70.56,52,30,1.43,MG,1634932807
Taganak,6.0833,118.3,81.72,78,100,9.95,PH,1634932808
Derzhavīnsk,51.1,66.3167,40.03,83,100,24.38,KZ,1634932809
Kaitong,44.8135,123.15,38.48,47,0,7.11,CN,1634932809
Karpogory,64.0019,44.4451,32.0,99,100,5.55,RU,1634932810
Kumul,42.8,93.45,55.2,22,2,7.25,CN,1634932672
Vostok,46.4856,135.8833,24.39,88,45,4.25,RU,1634932811
Ust'-Barguzin,53.45,108.9833,33.08,75,7,3.18,RU,1634932813
Batemans Bay,-35.7167,150.1833,56.98,88,10,3.65,AU,1634932802
Laas,46.6166,10.7002,45.16,90,31,5.55,IT,1634932813
Monchegorsk,67.9397,32.8739,26.42,77,100,11.34,RU,1634932814
Atamanskaya,46.1773,39.6358,53.62,77,1,8.46,RU,1634932815
Belgrade,44.804,20.4651,54.68,99,40,1.01,RS,1634932292
Saurimo,-9.6608,20.3916,68.38,85,15,2.13,AO,1634932816
Oddur,4.1213,43.8894,77.23,69,93,14.23,SO,1634932817
Dingle,10.9995,122.6711,75.06,94,100,6.06,PH,1634932817
Amuntai,-2.4177,115.2494,74.05,99,100,0.36,ID,1634932818
Ocho Rios,18.4025,-77.1048,83.8,66,56,10.02,JM,1634932811
Guaratinga,-16.5667,-39.5667,73.74,85,98,7.47,BR,1634932819
Boende,-0.2167,20.8667,70.0,89,96,0.74,CD,1634932819
Kununurra,-15.7667,128.7333,78.78,94,5,6.91,AU,1634932820
Umm Hājar,13.2954,19.6966,89.22,20,86,8.32,TD,1634932820
Fort Nelson,58.8053,-122.7002,42.66,73,100,4.09,CA,1634932813
Loveland,40.3978,-105.075,72.77,19,1,8.99,US,1634932730
Oshkosh,44.0247,-88.5426,44.74,61,100,4.0,US,1634932749
Sindou,10.6667,-5.1667,80.19,63,53,3.44,BF,1634932821
Gamba,-2.65,10.0,76.71,86,99,6.58,GA,1634932641
El Tigre,8.8875,-64.2454,85.08,56,89,10.8,VE,1634932769
Saint-Joseph,-21.3667,55.6167,71.76,81,9,1.86,RE,1634932822
Berlevåg,70.8578,29.0864,31.95,64,75,17.27,NO,1634932822
Sitka,57.0531,-135.33,51.69,76,90,25.32,US,1634932636
Marawi,7.9986,124.2928,67.64,94,100,0.98,PH,1634932823
Meulaboh,4.1363,96.1285,76.66,88,98,2.46,ID,1634932823
Nabire,-3.3667,135.4833,74.55,91,100,3.36,ID,1634932824
Barinas,8.6226,-70.2075,87.49,51,15,7.72,VE,1634932824
Myitkyina,25.3833,97.4,67.62,99,33,1.74,MM,1634932824
Kapuskasing,49.4169,-82.4331,35.31,72,100,6.89,CA,1634932825
Sur,22.5667,59.5289,81.73,65,5,7.14,OM,1634932724
Karratha,-20.7377,116.8463,79.48,37,33,3.87,AU,1634932825
Klaksvík,62.2266,-6.589,41.92,66,60,12.03,FO,1634932825
Manggar,-2.8833,108.2667,80.08,78,100,0.6,ID,1634932826
Sobolevo,54.4299,31.8996,43.66,65,98,16.22,RU,1634932826
Acapulco de Juárez,16.8634,-99.8901,80.4,83,100,5.26,MX,1634932827
Half Moon Bay,37.4636,-122.4286,62.55,77,1,5.75,US,1634932827
Cabra,37.4725,-4.4421,62.89,44,0,2.08,ES,1634932827
Palu,-0.8917,119.8707,75.78,95,100,2.06,ID,1634932828
São José da Coroa Grande,-8.8978,-35.1478,80.22,78,6,10.96,BR,1634932828
Bestöbe,52.4994,73.0975,37.76,95,100,23.26,KZ,1634932828
Mabaruma,8.2,-59.7833,76.86,96,100,5.28,GY,1634932829
Fort-Shevchenko,44.5086,50.263,58.6,89,2,24.47,KZ,1634932829
Tiarei,-17.5333,-149.3333,80.62,88,90,20.8,PF,1634932829
Dunedin,-45.8742,170.5036,53.8,69,100,11.01,NZ,1634932830
Korla,41.7597,86.1469,56.66,23,100,11.5,CN,1634932831
Minna,9.6139,6.5569,73.33,86,100,3.33,NG,1634932831
Verkhnevilyuysk,63.4453,120.3167,33.51,92,100,8.08,RU,1634932832
Santa Cruz de la Sierra,-17.8,-63.1667,95.05,43,40,24.16,BO,1634932715
Nome,64.5011,-165.4064,34.16,75,100,10.38,US,1634932832
Antonovo,43.15,26.1667,45.66,66,100,3.44,BG,1634932833
Eyemouth,55.8713,-2.0901,45.43,66,72,5.93,GB,1634932833
Merauke,-8.4667,140.3333,77.29,86,100,10.29,ID,1634932833
Celestún,20.8667,-90.4,80.69,76,100,11.61,MX,1634932834
Wana,32.2989,69.5725,60.49,34,0,4.52,PK,1634932834
Eureka,40.8021,-124.1637,59.22,88,51,4.0,US,1634932835
Laguna de Perlas,12.3429,-83.6712,84.7,69,21,6.53,NI,1634932835
Babylon,40.6957,-73.3257,68.83,60,31,1.99,US,1634932736
Gurh,24.5167,81.5167,69.6,59,0,4.23,IN,1634932836
Daru,-9.0763,143.2092,78.64,78,48,9.06,PG,1634932836
Aykhal,66.0,111.5,26.53,89,100,11.14,RU,1634932668
Gizo Government Station,-8.103,156.8419,81.03,76,31,4.65,SB,1634932836
Naze,28.3667,129.4833,65.34,56,80,14.2,JP,1634932837
Sibolga,1.7427,98.7792,77.2,85,100,2.8,ID,1634932837
Garoowe,8.4054,48.4845,75.58,75,18,14.74,SO,1634932838
Batagay-Alyta,67.8006,130.4114,5.77,97,100,2.28,RU,1634932838
Zhezkazgan,47.8043,67.7144,38.86,94,100,17.38,KZ,1634932838
Neyagawa,34.7662,135.6276,54.14,64,75,10.42,JP,1634932839
Lázaro Cárdenas,17.9583,-102.2,82.6,83,100,6.67,MX,1634932839
Grindavik,63.8424,-22.4338,45.07,93,90,25.32,IS,1634932840
Khor,47.8861,134.9464,30.58,80,20,8.3,RU,1634932840
Verkhnyaya Khava,51.8404,39.9413,53.67,57,2,9.08,RU,1634932840
Chara,56.9064,118.2631,32.04,62,96,2.82,RU,1634932841
Houma,29.5958,-90.7195,85.53,63,40,6.91,US,1634932841
Lālmohan,22.3384,90.7419,78.8,70,100,2.86,BD,1634932841
Nishihara,26.1842,127.7558,72.68,56,75,11.5,JP,1634932842
Dzaoudzi,-12.7887,45.2699,75.09,83,0,3.44,YT,1634932842
Altay,47.8667,88.1167,37.31,68,100,3.02,CN,1634932842
Kibala,9.1104,18.3463,76.51,76,11,2.86,TD,1634932843
Westport,41.1415,-73.3579,68.14,63,40,7.0,US,1634932843
Maniwaki,46.3834,-75.966,42.19,56,26,6.67,CA,1634932844
Slave Lake,55.2834,-114.769,46.94,44,87,14.43,CA,1634932844
Sinop Province,41.7711,34.8709,53.92,44,37,7.16,TR,1634932360
Shache,38.4167,77.2406,51.04,34,99,8.5,CN,1634932844
Feicheng,35.2606,117.9675,46.53,65,62,2.95,CN,1634932845
Pacific Grove,36.6177,-121.9166,61.23,83,100,1.99,US,1634932560
Akonolinga,3.7667,12.25,68.68,99,100,2.55,CM,1634932845
Bonthe,7.5264,-12.505,78.71,86,100,8.16,SL,1634932847
Kwinana,-32.25,115.7667,52.54,78,0,7.29,AU,1634932719
Soddy-Daisy,35.2359,-85.1908,65.44,68,77,4.25,US,1634932677
Alpena,45.0617,-83.4327,45.9,63,97,3.0,US,1634932847
Chyorny Yar,48.0624,46.1091,53.73,40,3,10.4,RU,1634932848
Broome,42.2506,-75.833,52.97,71,75,3.0,US,1634932848
Kindu,-2.95,25.95,70.41,95,100,2.01,CD,1634932848
Atar,20.5169,-13.0499,81.54,18,21,7.72,MR,1634932849
Meaford,44.6001,-80.583,44.42,91,62,8.01,CA,1634932849
Le Port,-20.9373,55.2919,72.01,95,4,8.63,RE,1634932849
Totoró,2.512,-76.4012,55.87,93,95,1.48,CO,1634932849
Bridlington,54.0831,-0.1919,46.27,63,100,1.16,GB,1634932850
Shahrud,36.4182,54.9763,46.53,34,0,0.02,IR,1634932753
Alice Springs,-23.7,133.8833,72.95,27,0,8.05,AU,1634932681
Morwell,-38.2333,146.4,57.38,97,100,4.03,AU,1634932850
San Francisco,37.7749,-122.4194,62.1,84,75,3.0,US,1634932101
Portland,45.5234,-122.6762,55.36,91,75,1.99,US,1634932678
Shingū,33.7333,135.9833,51.44,78,0,7.49,JP,1634932851
Todos Santos,23.45,-110.2167,79.83,77,0,10.27,MX,1634932851
Marrakesh,31.6315,-8.0083,71.67,53,40,8.05,MA,1634932693
Krasnosel'kup,65.7,82.4667,33.03,99,100,17.54,RU,1634932719
Wakkanai,45.4094,141.6739,44.33,72,89,9.28,JP,1634932852
Syamzha,60.0158,41.0614,41.36,75,82,13.96,RU,1634932852
Luanda,-8.8368,13.2343,76.06,85,45,10.47,AO,1634932697
Takayama,36.1333,137.25,43.54,95,100,6.46,JP,1634932852
Gimbi,9.1667,35.8333,54.9,76,91,1.12,ET,1634932817
Te Anau,-45.4167,167.7167,49.93,85,100,1.01,NZ,1634932853
